Total words: 125257
word:  frequency: 468
word: shrubbery frequency: 4
word: satirical frequency: 1
word: electronically frequency: 2
word: estates frequency: 4
word: needed frequency: 3
word: secure frequency: 14
word: depend frequency: 23
word: nearer frequency: 5
word: insipid frequency: 1
word: overlooked frequency: 3
word: confused frequency: 4
word: imaginary frequency: 5
word: walked frequency: 44
word: comfort frequency: 31
word: thus frequency: 28
word: irritated frequency: 1
word: practised frequency: 1
word: cup frequency: 1
word: 17 frequency: 1
word: command frequency: 6
word: the frequency: 4503
word: prodigiously frequency: 3
word: consigned frequency: 1
word: carrying frequency: 4
word: offensive frequency: 2
word: memory frequency: 8
word: cents frequency: 1
word: corruption frequency: 1
word: talked frequency: 38
word: purse frequency: 1
word: exhausted frequency: 1
word: lock frequency: 1
word: defect frequency: 7
word: sameness frequency: 1
word: withdrawing frequency: 1
word: concisely frequency: 2
word: capable frequency: 18
word: dispense frequency: 1
word: settled frequency: 48
word: acquiesce frequency: 1
word: occupation frequency: 1
word: unrestrained frequency: 1
word: reconciling frequency: 1
word: humbled frequency: 4
word: purchased frequency: 3
word: infringement frequency: 1
word: solemnity frequency: 5
word: summoned frequency: 5
word: walking frequency: 26
word: alas frequency: 2
word: subsided frequency: 1
word: jenkinson frequency: 9
word: conceive frequency: 3
word: prospects frequency: 4
word: charles frequency: 7
word: 37 frequency: 1
word: donors frequency: 1
word: bowed frequency: 3
word: edw frequency: 1
word: bear frequency: 25
word: permit frequency: 1
word: objecting frequency: 3
word: participation frequency: 1
word: professed frequency: 4
word: scheme frequency: 18
word: nine frequency: 2
word: insinuating frequency: 1
word: entreat frequency: 6
word: impertinence frequency: 8
word: insulting frequency: 1
word: concerned frequency: 18
word: performance frequency: 6
word: persuaded frequency: 25
word: shoot frequency: 3
word: familiar frequency: 3
word: learning frequency: 1
word: disapprobation frequency: 7
word: room frequency: 112
word: unlikely frequency: 4
word: burnt frequency: 1
word: head frequency: 32
word: perturbed frequency: 1
word: presentation frequency: 5
word: revealing frequency: 1
word: intolerable frequency: 3
word: fatigue frequency: 4
word: aught frequency: 1
word: accusation frequency: 1
word: indifferent frequency: 16
word: warwick frequency: 1
word: drive frequency: 4
word: noble frequency: 11
word: outstripped frequency: 1
word: readily frequency: 17
word: unfolded frequency: 5
word: dine frequency: 16
word: discontentedness frequency: 1
word: amusing frequency: 4
word: inviting frequency: 3
word: equalled frequency: 1
word: fingering frequency: 1
word: practically frequency: 1
word: thinking frequency: 21
word: member frequency: 1
word: advance frequency: 3
word: throat frequency: 1
word: parishioners frequency: 1
word: disposition frequency: 25
word: milliner frequency: 2
word: nerves frequency: 4
word: alluded frequency: 6
word: tremblings frequency: 1
word: mantelpiece frequency: 3
word: banks frequency: 2
word: unfortunate frequency: 6
word: abhorrent frequency: 1
word: demand frequency: 4
word: resistance frequency: 2
word: fearless frequency: 1
word: continual frequency: 3
word: refuse frequency: 9
word: curtseyed frequency: 1
word: entirely frequency: 25
word: lost frequency: 29
word: counteracted frequency: 2
word: dinner frequency: 33
word: hurry frequency: 11
word: gate frequency: 6
word: hither frequency: 3
word: triumphant frequency: 2
word: carry frequency: 6
word: gradual frequency: 1
word: drinking frequency: 1
word: tedious frequency: 1
word: merry frequency: 3
word: excellence frequency: 2
word: gay frequency: 2
word: moreover frequency: 11
word: departure frequency: 6
word: imply frequency: 1
word: entreating frequency: 1
word: implied frequency: 3
word: survivor frequency: 1
word: footman frequency: 1
word: epithet frequency: 1
word: overthrowing frequency: 1
word: obstinacy frequency: 2
word: vehemence frequency: 1
word: director frequency: 1
word: conference frequency: 4
word: respecting frequency: 3
word: face frequency: 27
word: keeping frequency: 6
word: glowing frequency: 1
word: adopt frequency: 3
word: emphasis frequency: 1
word: trait frequency: 1
word: tolerable frequency: 15
word: deal frequency: 34
word: allow frequency: 32
word: gamester frequency: 1
word: wine frequency: 3
word: pauses frequency: 2
word: directed frequency: 9
word: praised frequency: 2
word: merchantibility frequency: 1
word: principally frequency: 5
word: bitterest frequency: 1
word: charms frequency: 4
word: invariable frequency: 1
word: night frequency: 34
word: sleeping frequency: 1
word: unexpected frequency: 8
word: embraced frequency: 2
word: file frequency: 2
word: close frequency: 9
word: title frequency: 1
word: steadily frequency: 3
word: lurking frequency: 1
word: persons frequency: 9
word: woods frequency: 7
word: prevented frequency: 23
word: residence frequency: 4
word: remained frequency: 23
word: identify frequency: 1
word: illiberal frequency: 1
word: characters frequency: 3
word: interpretation frequency: 1
word: mamma frequency: 11
word: colonel frequency: 66
word: ramble frequency: 2
word: aloof frequency: 2
word: remark frequency: 3
word: barbarously frequency: 1
word: dearly frequency: 3
word: wonderfully frequency: 2
word: growth frequency: 1
word: passions frequency: 1
word: fish frequency: 5
word: unlink frequency: 1
word: secondhand frequency: 1
word: to frequency: 4218
word: hears frequency: 1
word: owe frequency: 5
word: pleasantness frequency: 3
word: besides frequency: 12
word: welldoing frequency: 1
word: five frequency: 30
word: charitable frequency: 1
word: henceforth frequency: 1
word: sports frequency: 1
word: ordained frequency: 1
word: characterise frequency: 1
word: summons frequency: 3
word: rob frequency: 2
word: 27 frequency: 1
word: companions frequency: 7
word: sentences frequency: 1
word: apology frequency: 8
word: larder frequency: 1
word: exertion frequency: 9
word: greatly frequency: 14
word: widest frequency: 2
word: reap frequency: 1
word: counterpart frequency: 1
word: retaliate frequency: 1
word: least frequency: 65
word: lay frequency: 6
word: uppermost frequency: 1
word: hardship frequency: 1
word: narrowest frequency: 1
word: profuse frequency: 1
word: observations frequency: 3
word: instructed frequency: 1
word: permission frequency: 13
word: watches frequency: 1
word: eloquence frequency: 1
word: adventure frequency: 2
word: exclusion frequency: 2
word: overpowering frequency: 1
word: decisive frequency: 2
word: figure frequency: 8
word: fastened frequency: 1
word: sixth frequency: 1
word: tens frequency: 1
word: extravagant frequency: 4
word: settling frequency: 3
word: formality frequency: 3
word: pleasures frequency: 7
word: halfhour frequency: 6
word: conceal frequency: 13
word: borrowed frequency: 1
word: consistency frequency: 1
word: regretted frequency: 1
word: below frequency: 8
word: specific frequency: 1
word: conclusion frequency: 8
word: advisable frequency: 6
word: rencontre frequency: 1
word: gentleman frequency: 39
word: forfeited frequency: 1
word: coughing frequency: 1
word: warm frequency: 6
word: illnature frequency: 1
word: family frequency: 152
word: included frequency: 4
word: persuade frequency: 18
word: 26 frequency: 1
word: assume frequency: 3
word: nonsense frequency: 8
word: repaired frequency: 3
word: no frequency: 498
word: friendship frequency: 9
word: struggles frequency: 3
word: untouched frequency: 1
word: moral frequency: 3
word: reflect frequency: 5
word: benefited frequency: 4
word: finding frequency: 13
word: theatre frequency: 1
word: save frequency: 3
word: requiring frequency: 5
word: assured frequency: 28
word: remain frequency: 11
word: tongue frequency: 3
word: state frequency: 25
word: distance frequency: 16
word: gloom frequency: 3
word: spiritless frequency: 2
word: proposed frequency: 5
word: watched frequency: 7
word: appearances frequency: 1
word: refused frequency: 6
word: illconsequences frequency: 1
word: excessively frequency: 11
word: mien frequency: 1
word: six frequency: 10
word: hills frequency: 3
word: bookroom frequency: 1
word: sunday frequency: 9
word: design frequency: 22
word: deserts frequency: 2
word: relinquish frequency: 1
word: 46 frequency: 1
word: calmness frequency: 4
word: sighed frequency: 1
word: thoughtless frequency: 3
word: apologies frequency: 2
word: congratulated frequency: 2
word: nectarines frequency: 1
word: began frequency: 59
word: regulating frequency: 1
word: campful frequency: 1
word: revered frequency: 1
word: entertain frequency: 5
word: undeceive frequency: 1
word: carter frequency: 4
word: unpardonable frequency: 4
word: dawson frequency: 1
word: stretching frequency: 1
word: assure frequency: 39
word: hedge frequency: 1
word: goodbye frequency: 2
word: contradicted frequency: 1
word: f3 frequency: 1
word: derbyshire frequency: 24
word: furnish frequency: 4
word: statements frequency: 1
word: site frequency: 4
word: caprice frequency: 4
word: referred frequency: 1
word: brilliancy frequency: 2
word: language frequency: 5
word: wantonly frequency: 1
word: villainous frequency: 1
word: consider frequency: 33
word: disheartened frequency: 1
word: outdated frequency: 1
word: estate frequency: 20
word: impatiently frequency: 5
word: patient frequency: 1
word: designed frequency: 5
word: model frequency: 2
word: directions frequency: 7
word: indelicate frequency: 1
word: scenes frequency: 3
word: maximum frequency: 1
word: discovered frequency: 8
word: advise frequency: 8
word: seat frequency: 6
word: dines frequency: 1
word: mildly frequency: 1
word: user frequency: 3
word: songs frequency: 1
word: bore frequency: 9
word: shant frequency: 3
word: thereupon frequency: 2
word: profess frequency: 1
word: politely frequency: 3
word: bewildered frequency: 1
word: disgust frequency: 5
word: respects frequency: 6
word: my frequency: 719
word: arisen frequency: 5
word: fastidious frequency: 2
word: performing frequency: 3
word: pitiable frequency: 3
word: bathingplace frequency: 1
word: gift frequency: 1
word: playing frequency: 6
word: page frequency: 4
word: having frequency: 96
word: dictates frequency: 1
word: dispute frequency: 2
word: concluded frequency: 10
word: abominably frequency: 4
word: apartment frequency: 4
word: mount frequency: 2
word: retirement frequency: 2
word: show frequency: 7
word: learned frequency: 3
word: won frequency: 4
word: ample frequency: 2
word: door frequency: 32
word: this frequency: 492
word: paid frequency: 25
word: sennight frequency: 1
word: surrounding frequency: 2
word: kenilworth frequency: 1
word: 1e5 frequency: 1
word: husband frequency: 50
word: 1e8 frequency: 4
word: alone frequency: 31
word: belonged frequency: 3
word: intrepidity frequency: 1
word: indulgence frequency: 6
word: wood frequency: 4
word: smiles frequency: 10
word: elder frequency: 12
word: dozen frequency: 1
word: action frequency: 2
word: gutenbergtm frequency: 57
word: minuteness frequency: 1
word: denoted frequency: 2
word: genius frequency: 2
word: needlessly frequency: 1
word: coloured frequency: 5
word: flirtation frequency: 2
word: indignant frequency: 2
word: halffinished frequency: 1
word: unwillingly frequency: 4
word: minds frequency: 4
word: gracechurch frequency: 9
word: seabathing frequency: 1
word: endured frequency: 4
word: perverse frequency: 1
word: contradict frequency: 2
word: immoral frequency: 1
word: pressed frequency: 2
word: valley frequency: 4
word: pursue frequency: 6
word: promises frequency: 3
word: stateliness frequency: 1
word: viewed frequency: 1
word: packed frequency: 1
word: abrupt frequency: 1
word: triumphantly frequency: 2
word: intermarriage frequency: 1
word: victory frequency: 1
word: passed frequency: 61
word: condescended frequency: 5
word: admitted frequency: 9
word: vexed frequency: 8
word: spoke frequency: 43
word: worldly frequency: 2
word: commendable frequency: 1
word: acquisition frequency: 1
word: incomprehensible frequency: 2
word: briefly frequency: 4
word: happening frequency: 2
word: compassion frequency: 14
word: speed frequency: 1
word: obsequiousness frequency: 1
word: seats frequency: 2
word: steadiness frequency: 1
word: warmest frequency: 2
word: mission frequency: 4
word: owing frequency: 4
word: beg frequency: 17
word: written frequency: 22
word: redistribute frequency: 1
word: substance frequency: 3
word: pretensions frequency: 5
word: patience frequency: 9
word: alteration frequency: 8
word: resentful frequency: 2
word: testimony frequency: 2
word: excepting frequency: 3
word: loser frequency: 1
word: likeness frequency: 3
word: deny frequency: 8
word: impartiality frequency: 1
word: innocence frequency: 1
word: wait frequency: 17
word: use frequency: 25
word: countrytown frequency: 1
word: disclaimer frequency: 3
word: related frequency: 16
word: unseldom frequency: 1
word: confinement frequency: 1
word: surprised frequency: 35
word: provoking frequency: 3
word: artificial frequency: 1
word: oddly frequency: 1
word: intrusion frequency: 3
word: start frequency: 4
word: influenced frequency: 1
word: testified frequency: 2
word: closed frequency: 6
word: lasting frequency: 2
word: 11 frequency: 1
word: test frequency: 1
word: unintelligible frequency: 1
word: awakened frequency: 4
word: charities frequency: 1
word: sensations frequency: 3
word: prospect frequency: 14
word: forwarded frequency: 2
word: differently frequency: 7
word: rectitude frequency: 1
word: glazing frequency: 1
word: illtempered frequency: 1
word: how frequency: 235
word: supplication frequency: 1
word: postponed frequency: 1
word: point frequency: 46
word: operated frequency: 1
word: newby frequency: 1
word: wrote frequency: 21
word: particulars frequency: 20
word: slit frequency: 1
word: affairs frequency: 7
word: rightful frequency: 1
word: reply frequency: 26
word: dreading frequency: 1
word: given frequency: 56
word: conquest frequency: 2
word: effusion frequency: 2
word: french frequency: 1
word: commended frequency: 2
word: talker frequency: 1
word: lately frequency: 12
word: beauties frequency: 4
word: opinions frequency: 8
word: deaden frequency: 1
word: perverseness frequency: 6
word: confidence frequency: 11
word: thanking frequency: 4
word: encouragement frequency: 10
word: repented frequency: 1
word: whatsoever frequency: 1
word: hand frequency: 24
word: there frequency: 357
word: removing frequency: 3
word: gratified frequency: 14
word: eliza frequency: 22
word: 52 frequency: 1
word: disrespectful frequency: 1
word: apprehended frequency: 1
word: noblest frequency: 1
word: current frequency: 1
word: lift frequency: 4
word: sonsinlaw frequency: 1
word: under frequency: 38
word: distinguish frequency: 2
word: submit frequency: 3
word: subjoin frequency: 1
word: disputable frequency: 1
word: confined frequency: 5
word: considerably frequency: 3
word: building frequency: 3
word: reckon frequency: 1
word: stratagems frequency: 1
word: modest frequency: 2
word: narrowly frequency: 2
word: quarters frequency: 2
word: liberality frequency: 2
word: negatived frequency: 1
word: diningroom frequency: 8
word: loo frequency: 1
word: blowsy frequency: 1
word: abusing frequency: 3
word: coats frequency: 1
word: parties frequency: 12
word: dishes frequency: 1
word: favourable frequency: 12
word: sleep frequency: 4
word: assent frequency: 1
word: doubting frequency: 2
word: sections frequency: 1
word: research frequency: 3
word: reached frequency: 18
word: proudly frequency: 1
word: wanted frequency: 24
word: surprise frequency: 37
word: articles frequency: 2
word: unjustly frequency: 2
word: inspiring frequency: 1
word: gardener frequency: 2
word: rocks frequency: 1
word: hesitate frequency: 3
word: generally frequency: 16
word: postscript frequency: 3
word: stood frequency: 14
word: trial frequency: 2
word: protect frequency: 2
word: treasured frequency: 1
word: puzzled frequency: 1
word: remaining frequency: 9
word: seasonable frequency: 1
word: augment frequency: 1
word: endeavour frequency: 21
word: placed frequency: 9
word: stream frequency: 4
word: drawingrooms frequency: 1
word: scarcity frequency: 1
word: descending frequency: 2
word: blushing frequency: 1
word: unshackled frequency: 1
word: enjoying frequency: 4
word: s frequency: 2
word: blots frequency: 1
word: horrible frequency: 1
word: tidings frequency: 3
word: fate frequency: 2
word: cool frequency: 3
word: respectable frequency: 13
word: broken frequency: 7
word: grounds frequency: 6
word: rained frequency: 1
word: courier frequency: 1
word: spleen frequency: 1
word: discharge frequency: 2
word: relied frequency: 1
word: foxhounds frequency: 1
word: affection frequency: 58
word: admire frequency: 18
word: colouring frequency: 3
word: nothing frequency: 177
word: guardian frequency: 1
word: delight frequency: 25
word: arts frequency: 4
word: merit frequency: 7
word: morning frequency: 79
word: decamping frequency: 1
word: perceive frequency: 7
word: filial frequency: 2
word: wanting frequency: 7
word: clergyman frequency: 8
word: copse frequency: 4
word: prettyish frequency: 1
word: brightening frequency: 1
word: ones frequency: 6
word: occasion frequency: 38
word: attended frequency: 24
word: irreligious frequency: 1
word: parsonagehouse frequency: 1
word: hint frequency: 12
word: wore frequency: 2
word: undone frequency: 1
word: apothecary frequency: 2
word: sly frequency: 3
word: solitary frequency: 4
word: prudence frequency: 4
word: tease frequency: 2
word: benches frequency: 1
word: performers frequency: 1
word: beaux frequency: 1
word: threats frequency: 1
word: silliest frequency: 1
word: favoured frequency: 1
word: piling frequency: 1
word: based frequency: 2
word: bingley frequency: 306
word: rid frequency: 5
word: yesterday frequency: 13
word: dispelling frequency: 1
word: sphere frequency: 2
word: generality frequency: 2
word: hushed frequency: 1
word: reconciliation frequency: 2
word: entreaties frequency: 4
word: female frequency: 8
word: gloried frequency: 1
word: elegant frequency: 14
word: intricate frequency: 2
word: assistant frequency: 1
word: meditations frequency: 1
word: secret frequency: 6
word: usually frequency: 8
word: prove frequency: 8
word: contrasted frequency: 1
word: miseries frequency: 1
word: 3 frequency: 4
word: early frequency: 28
word: country frequency: 42
word: contain frequency: 8
word: official frequency: 3
word: wandered frequency: 2
word: bearing frequency: 2
word: obliging frequency: 5
word: follies frequency: 4
word: gathered frequency: 2
word: inmate frequency: 1
word: times frequency: 20
word: drily frequency: 2
word: prosperity frequency: 3
word: deceitful frequency: 2
word: believing frequency: 12
word: frivolous frequency: 3
word: shortly frequency: 12
word: serenity frequency: 3
word: seconding frequency: 1
word: teased frequency: 2
word: main frequency: 1
word: cambric frequency: 1
word: remarks frequency: 8
word: injuries frequency: 1
word: orders frequency: 7
word: construction frequency: 1
word: saturday frequency: 17
word: considerable frequency: 11
word: turnpikes frequency: 1
word: diffidence frequency: 5
word: opposite frequency: 11
word: brought frequency: 37
word: determining frequency: 2
word: conquer frequency: 2
word: accused frequency: 2
word: persuasion frequency: 8
word: learnt frequency: 14
word: consternation frequency: 1
word: some frequency: 212
word: counteract frequency: 1
word: unusual frequency: 1
word: accusations frequency: 3
word: successfully frequency: 1
word: forbearance frequency: 6
word: courtship frequency: 2
word: pronounced frequency: 10
word: clapham frequency: 4
word: seclusion frequency: 1
word: cook frequency: 1
word: sick frequency: 6
word: celerity frequency: 1
word: ended frequency: 4
word: prevailing frequency: 2
word: preferment frequency: 3
word: network frequency: 1
word: provided frequency: 11
word: when frequency: 375
word: censuring frequency: 1
word: clearly frequency: 4
word: conversations frequency: 1
word: undervalued frequency: 1
word: amendment frequency: 2
word: price frequency: 2
word: inspire frequency: 1
word: awkwardness frequency: 3
word: resent frequency: 4
word: westerham frequency: 1
word: changes frequency: 1
word: fonder frequency: 2
word: bows frequency: 2
word: dear frequency: 158
word: accidental frequency: 3
word: repugnance frequency: 1
word: broadfaced frequency: 1
word: laughed frequency: 11
word: mirth frequency: 2
word: footing frequency: 2
word: hoping frequency: 4
word: rejoiced frequency: 9
word: jumbled frequency: 1
word: worked frequency: 4
word: objections frequency: 11
word: consign frequency: 1
word: 646221541 frequency: 1
word: inflexibly frequency: 1
word: paling frequency: 1
word: taken frequency: 31
word: difficult frequency: 11
word: settlements frequency: 1
word: sends frequency: 1
word: impolitic frequency: 1
word: construing frequency: 1
word: mortifications frequency: 1
word: supercilious frequency: 1
word: eleven frequency: 1
word: farewell frequency: 3
word: worse frequency: 13
word: sermonmaking frequency: 1
word: forcibly frequency: 4
word: supposition frequency: 4
word: declined frequency: 6
word: effect frequency: 18
word: cry frequency: 1
word: uniformity frequency: 1
word: qualifications frequency: 1
word: rivals frequency: 1
word: 2 frequency: 3
word: half frequency: 46
word: feelings frequency: 86
word: chair frequency: 6
word: nourishes frequency: 1
word: note frequency: 8
word: closer frequency: 1
word: status frequency: 4
word: store frequency: 1
word: unwell frequency: 2
word: relationship frequency: 12
word: staying frequency: 10
word: instinctively frequency: 2
word: smoothly frequency: 1
word: profusion frequency: 1
word: regarding frequency: 1
word: decency frequency: 2
word: accomplishments frequency: 5
word: destroy frequency: 2
word: malice frequency: 2
word: younge frequency: 4
word: interpreted frequency: 1
word: i frequency: 2069
word: feathers frequency: 1
word: rattle frequency: 2
word: injunction frequency: 1
word: gossiping frequency: 1
word: amounting frequency: 1
word: but frequency: 1007
word: renewing frequency: 2
word: following frequency: 26
word: hearing frequency: 24
word: attentions frequency: 26
word: port frequency: 1
word: temporary frequency: 1
word: read frequency: 43
word: integrity frequency: 3
word: collinses frequency: 5
word: powerful frequency: 3
word: aye frequency: 6
word: conduct frequency: 23
word: pathetic frequency: 1
word: knew frequency: 58
word: judgement frequency: 11
word: butcher frequency: 1
word: 33 frequency: 1
word: gregory frequency: 1
word: correct frequency: 2
word: simpered frequency: 1
word: hoped frequency: 20
word: discover frequency: 9
word: exerted frequency: 2
word: slow frequency: 2
word: afraid frequency: 37
word: teteatete frequency: 4
word: alarmed frequency: 8
word: seniority frequency: 1
word: modified frequency: 1
word: debt frequency: 4
word: permanent frequency: 2
word: thence frequency: 1
word: warmth frequency: 8
word: unpleasant frequency: 8
word: languages frequency: 1
word: writer frequency: 3
word: sent frequency: 21
word: phillips frequency: 31
word: learn frequency: 11
word: finery frequency: 2
word: giving frequency: 25
word: stuffy frequency: 1
word: speaking frequency: 33
word: representation frequency: 4
word: concern frequency: 26
word: charming frequency: 20
word: volatility frequency: 1
word: steadfast frequency: 1
word: spent frequency: 22
word: print frequency: 1
word: replace frequency: 1
word: felicity frequency: 18
word: failing frequency: 2
word: ceaseless frequency: 1
word: impertinent frequency: 6
word: miles frequency: 16
word: 22 frequency: 1
word: pressingly frequency: 1
word: expressively frequency: 2
word: books frequency: 13
word: loving frequency: 2
word: manage frequency: 3
word: neither frequency: 38
word: overtaken frequency: 1
word: international frequency: 1
word: obligingly frequency: 1
word: shopboy frequency: 1
word: everybody frequency: 38
word: assemblies frequency: 2
word: then frequency: 175
word: commendations frequency: 1
word: uncomfortable frequency: 7
word: alter frequency: 1
word: accounts frequency: 3
word: atoned frequency: 1
word: fluttered frequency: 1
word: intention frequency: 15
word: goes frequency: 2
word: faculties frequency: 1
word: asking frequency: 14
word: frequently frequency: 23
word: presence frequency: 6
word: praises frequency: 2
word: frankness frequency: 4
word: restoring frequency: 1
word: nonsensical frequency: 3
word: finally frequency: 7
word: resentfully frequency: 2
word: sees frequency: 6
word: away frequency: 119
word: tranquilly frequency: 1
word: acceptable frequency: 6
word: honestly frequency: 4
word: adieu frequency: 5
word: reconsidering frequency: 1
word: wearied frequency: 1
word: quarrelsome frequency: 1
word: links frequency: 3
word: forgive frequency: 10
word: ached frequency: 1
word: smart frequency: 2
word: kindest frequency: 1
word: humanity frequency: 2
word: announce frequency: 4
word: mouth frequency: 1
word: prevent frequency: 17
word: trepidation frequency: 1
word: appointment frequency: 1
word: overrated frequency: 1
word: interrupted frequency: 9
word: disinclined frequency: 1
word: travelling frequency: 6
word: embracing frequency: 2
word: volume frequency: 2
word: greatuncle frequency: 1
word: letter frequency: 116
word: honours frequency: 2
word: qualities frequency: 6
word: paltry frequency: 2
word: humiliation frequency: 2
word: jumping frequency: 1
word: advantage frequency: 34
word: condescend frequency: 1
word: 1e2 frequency: 1
word: resolve frequency: 2
word: theirs frequency: 2
word: showing frequency: 4
word: successful frequency: 3
word: proportionate frequency: 1
word: bedrooms frequency: 1
word: instituted frequency: 1
word: surest frequency: 1
word: wild frequency: 11
word: rashness frequency: 1
word: conversible frequency: 1
word: destined frequency: 3
word: spanish frequency: 1
word: indicating frequency: 1
word: popular frequency: 1
word: involuntary frequency: 1
word: sustained frequency: 1
word: shorten frequency: 1
word: premeditation frequency: 1
word: couple frequency: 8
word: bashful frequency: 1
word: do frequency: 364
word: penance frequency: 1
word: deigned frequency: 3
word: indeed frequency: 95
word: form frequency: 17
word: near frequency: 38
word: complacency frequency: 4
word: applied frequency: 12
word: inferences frequency: 1
word: ornament frequency: 1
word: among frequency: 25
word: howsoever frequency: 1
word: threatened frequency: 1
word: interrupt frequency: 5
word: locations frequency: 2
word: kindred frequency: 1
word: production frequency: 1
word: pour frequency: 1
word: remains frequency: 5
word: disservice frequency: 1
word: strictest frequency: 1
word: whose frequency: 59
word: supplied frequency: 2
word: insincere frequency: 2
word: attending frequency: 9
word: cough frequency: 2
word: leaning frequency: 1
word: continuance frequency: 3
word: propose frequency: 3
word: interview frequency: 3
word: assisting frequency: 2
word: peculiar frequency: 5
word: mortification frequency: 6
word: heal frequency: 1
word: searching frequency: 1
word: inquiring frequency: 5
word: attained frequency: 1
word: happier frequency: 3
word: assurances frequency: 8
word: formidable frequency: 4
word: incur frequency: 1
word: originate frequency: 1
word: sixteen frequency: 7
word: truly frequency: 7
word: disgusted frequency: 3
word: addressing frequency: 3
word: vice frequency: 3
word: chicken frequency: 1
word: doleful frequency: 1
word: borne frequency: 5
