('refaced', 'defacer')
('lee', 'eel')
('shaping', 'phasing')
('pashing', 'hasping')
('eyne', 'eyen')
('baths', 'bahts')
('tenners', 'rennets')
('stele', 'steel')
('steel', 'sleet')
('outs', 'oust')
('tongas', 'tangos')
('robbins', 'ribbons')
('wots', 'tows')
('wots', 'wost')
('twos', 'swot')
('twos', 'tows')
('swot', 'stow')
('cultch', 'clutch')
('tussers', 'russets')
('sod', 'dos')
('ods', 'dos')
('rocklike', 'corklike')
('rupees', 'purees')
('graal', 'argal')
('timbres', 'timbers')
('sinh', 'hins')
('hisn', 'hins')
('rupee', 'puree')
('pina', 'nipa')
('pina', 'pian')
('pian', 'pain')
('fucoses', 'focuses')
('spied', 'siped')
('busker', 'burkes')
('rattened', 'nattered')
('nerol', 'enrol')
('rider', 'direr')
('drier', 'direr')
('totem', 'motet')
('motte', 'motet')
('popes', 'pepos')
('rock', 'cork')
('lab', 'alb')
('lab', 'bal')
('tester', 'setter')
('waddler', 'dawdler')
('peke', 'peek')
('peek', 'keep')
('triadics', 'triacids')
('drab', 'brad')
('drab', 'darb')
('darb', 'bard')
('brad', 'bard')
('toned', 'noted')
('lots', 'lost')
('tea', 'eta')
('tea', 'tae')
('tae', 'ate')
('tae', 'eat')
('eta', 'ate')
('eta', 'eat')
('wading', 'dawing')
('norms', 'morns')
('ship', 'phis')
('grandmas', 'grandams')
('cellars', 'callers')
('fete', 'feet')
('prefect', 'perfect')
('weets', 'weest')
('spooning', 'snooping')
('toolers', 'looters')
('hame', 'haem')
('haem', 'ahem')
('ginkgo', 'gingko')
('tours', 'routs')
('tours', 'torus')
('routs', 'roust')
('sarin', 'naris')
('ranis', 'naris')
('ranis', 'rains')
('ochering', 'cohering')
('dobies', 'bodies')
('fat', 'aft')
('pol', 'lop')
('tillers', 'rillets')
('refiled', 'defiler')
('typhon', 'python')
('remises', 'merises')
('dib', 'bid')
('rimmed', 'dimmer')
('ensued', 'endues')
('braky', 'barky')
('petti', 'petit')
('anime', 'amine')
('colas', 'coals')
('saccades', 'cascades')
('til', 'lit')
('rimed', 'dimer')
('rimed', 'mired')
('retina', 'ratine')
('rascals', 'lascars')
('pooled', 'looped')
('pekes', 'peeks')
('peeks', 'keeps')
('received', 'deceiver')
('electros', 'electors')
('nates', 'antes')
('legation', 'gelation')
('quintans', 'quinnats')
('sombrely', 'somberly')
('claque', 'calque')
('yodles', 'yodels')
('putout', 'output')
('crevices', 'cervices')
('sealed', 'leased')
('patois', 'patios')
('basal', 'balas')
('balsa', 'balas')
('balas', 'baals')
('torse', 'tores')
('tores', 'rotes')
('rotes', 'roset')
('intends', 'indents')
('sorer', 'roser')
('recked', 'decker')
('somatic', 'osmatic')
('tared', 'rated')
('rated', 'dater')
('raced', 'arced')
('raced', 'cared')
('cared', 'acred')
('arced', 'acred')
('rustling', 'lustring')
('gondolas', 'dongolas')
('loured', 'louder')
('swayers', 'sawyers')
('wot', 'tow')
('two', 'tow')
('overdose', 'overdoes')
('solans', 'salons')
('getaway', 'gateway')
('menages', 'maneges')
('source', 'course')
('rallied', 'dallier')
('saucers', 'causers')
('framing', 'farming')
('pliant', 'plaint')
('tali', 'lati')
('tali', 'tail')
('gods', 'dogs')
('fiars', 'fairs')
('untraced', 'uncrated')
('sooners', 'noosers')
('gasp', 'gaps')
('botanise', 'botanies')
('skirter', 'skirret')
('canton', 'cannot')
('mac', 'cam')
('ti', 'it')
('spice', 'epics')
('rode', 'redo')
('nomos', 'monos')
('moons', 'monos')
('tourers', 'routers')
('rouse', 'roues')
('legits', 'legist')
('rouping', 'pouring')
('anal', 'alan')
('debs', 'beds')
('pean', 'neap')
('pane', 'nape')
('vat', 'tav')
('goitre', 'goiter')
('terces', 'certes')
('veered', 'reeved')
('lintels', 'lentils')
('skirters', 'skirrets')
('spoony', 'snoopy')
('mobbing', 'bombing')
('wos', 'sow')
('gane', 'gaen')
('preforms', 'performs')
('vilely', 'lively')
('byes', 'beys')
('main', 'amin')
('compliant', 'complaint')
('lineal', 'lienal')
('imago', 'amigo')
('roweled', 'lowered')
('sooner', 'nooser')
('distanced', 'discanted')
('ladles', 'dalles')
('fats', 'fast')
('rouge', 'rogue')
('siring', 'rising')
('expected', 'excepted')
('testa', 'taste')
('testa', 'teats')
('nickles', 'nickels')
('meed', 'deem')
('deme', 'deem')
('volar', 'valor')
('told', 'dolt')
('vialed', 'vailed')
('toured', 'routed')
('rubbly', 'burbly')
('tas', 'sat')
('regraded', 'degrader')
('regraded', 'regarded')
('mages', 'games')
('spa', 'sap')
('sap', 'asp')
('sap', 'pas')
('shire', 'shier')
('singed', 'signed')
('theatre', 'theater')
('rabic', 'baric')
('dub', 'bud')
('ipecac', 'icecap')
('mutule', 'mutuel')
('tikes', 'kites')
('baler', 'abler')
('retems', 'meters')
('metres', 'meters')
('raid', 'arid')
('tis', 'its')
('tis', 'sit')
('wekas', 'wakes')
('meeds', 'deems')
('demes', 'deems')
('resealed', 'released')
('skies', 'sikes')
('tipplers', 'ripplets')
('babes', 'abbes')
('ohmages', 'homages')
('vileness', 'liveness')
('ruled', 'lured')
('solids', 'sloids')
('tumular', 'mutular')
('timbre', 'timber')
('brans', 'barns')
('nice', 'cine')
('staters', 'starets')
('testee', 'settee')
('detonation', 'denotation')
('menage', 'manege')
('line', 'lien')
('feta', 'fate')
('feta', 'feat')
('paris', 'pairs')
('un', 'nu')
('play', 'paly')
('spooned', 'snooped')
('milestones', 'limestones')
('sorters', 'rosters')
('unsplit', 'unspilt')
('birded', 'bidder')
('pin', 'nip')
('hardset', 'hardest')
('psalmic', 'plasmic')
('coly', 'cloy')
('vile', 'live')
('veil', 'evil')
('staling', 'slating')
('slating', 'salting')
('salting', 'lasting')
('lintel', 'lentil')
('stroy', 'story')
('steek', 'skeet')
('singers', 'signers')
('cravers', 'carvers')
('wets', 'tews')
('wets', 'west')
('gyro', 'gory')
('previous', 'pervious')
('embar', 'amber')
('vialing', 'vailing')
('tied', 'diet')
('tied', 'tide')
('tide', 'dite')
('dite', 'diet')
('macs', 'cams')
('fleeing', 'feeling')
('goaled', 'gaoled')
('doby', 'body')
('truce', 'eruct')
('eruct', 'cruet')
('cuter', 'curet')
('curet', 'cruet')
('sag', 'gas')
('ragged', 'dagger')
('waned', 'awned')
('dewan', 'dawen')
('refeed', 'reefed')
('wiener', 'weiner')
('robe', 'bore')
('tody', 'doty')
('tugs', 'guts')
('guts', 'gust')
('sib', 'bis')
('verste', 'verset')
('revets', 'revest')
('raptly', 'partly')
('partly', 'paltry')
('robbed', 'dobber')
('saver', 'raves')
('edify', 'deify')
('regents', 'gerents')
('titre', 'titer')
('juts', 'just')
('frere', 'freer')
('spin', 'snip')
('pins', 'nips')
('pone', 'nope')
('edification', 'deification')
('peeking', 'keeping')
('bordel', 'bolder')
('atomise', 'atomies')
('tusser', 'russet')
('zonetimes', 'monetizes')
('axonic', 'anoxic')
('heniquens', 'henequins')
('uns', 'nus')
('sun', 'nus')
('referred', 'deferrer')
('kits', 'kist')
('cratons', 'cartons')
('cartons', 'cantors')
('wavies', 'waives')
('cossack', 'cassock')
('nomad', 'monad')
('waling', 'lawing')
('ruby', 'bury')
('featly', 'fealty')
('pacs', 'caps')
('tending', 'denting')
('taring', 'rating')
('ripened', 'repined')
('pampers', 'mappers')
('mag', 'gam')
('educes', 'deuces')
('spined', 'sniped')
('terrases', 'serrates')
('sores', 'roses')
('liven', 'levin')
('waddlers', 'dawdlers')
('souls', 'solus')
('anole', 'alone')
('tracer', 'crater')
('crater', 'carter')
('touchier', 'couthier')
('rugged', 'gurged')
('toro', 'roto')
('roto', 'root')
('quatre', 'quarte')
('curia', 'auric')
('besmiling', 'besliming')
('rambled', 'marbled')
('doc', 'cod')
('cerias', 'caries')
('expects', 'excepts')
('vial', 'vail')
('toneless', 'noteless')
('create', 'cerate')
('speels', 'sleeps')
('doven', 'devon')
('urns', 'runs')
('stripe', 'sprite')
('relegate', 'regelate')
('latitude', 'altitude')
('solan', 'salon')
('cuestas', 'caestus')
('wad', 'daw')
('ulnar', 'lunar')
('heptane', 'haptene')
('sore', 'rose')
('rose', 'roes')
('roes', 'ores')
('ores', 'eros')
('axle', 'axel')
('exempla', 'example')
('copse', 'copes')
('heniquen', 'henequin')
('lek', 'elk')
('wrap', 'warp')
('prods', 'drops')
('drops', 'dorps')
('leans', 'elans')
('warrens', 'warners')
('lies', 'leis')
('luffed', 'duffel')
('duffle', 'duffel')
('louvre', 'louver')
('horsed', 'hordes')
('waddle', 'dawdle')
('kibes', 'bikes')
('harkeners', 'hankerers')
('goals', 'gaols')
('shires', 'shiers')
('reformed', 'deformer')
('clave', 'calve')
('sneds', 'sends')
('goobers', 'boogers')
('bosun', 'bonus')
('face', 'cafe')
('poly', 'ploy')
('ensured', 'endures')
('becurst', 'becrust')
('corals', 'carols')
('waes', 'awes')
('stipe', 'spite')
('berretta', 'barrette')
('nomarchy', 'monarchy')
('curds', 'cruds')
('cat', 'act')
('viler', 'liver')
('livre', 'liver')
('curs', 'crus')
('stye', 'stey')
('vomers', 'movers')
('outspelt', 'outslept')
('pome', 'mope')
('pome', 'poem')
('rubblier', 'burblier')
('ripen', 'repin')
('craver', 'carver')
('sturts', 'struts')
('cascables', 'cascabels')
('wrier', 'wirer')
('fets', 'efts')
('nided', 'dined')
('rubs', 'burs')
('sone', 'eons')
('sone', 'nose')
('ones', 'noes')
('nose', 'noes')
('noes', 'eons')
('toom', 'moot')
('rectitudes', 'certitudes')
('questionniares', 'questionnaires')
('swindled', 'dwindles')
('reed', 'deer')
('reed', 'rede')
('rede', 'dere')
('dree', 'deer')
('dree', 'dere')
('dere', 'deer')
('misleads', 'misdeals')
('uke', 'kue')
('douce', 'coude')
('slavers', 'salvers')
('softer', 'foster')
('foster', 'fortes')
('sifting', 'fisting')
('quintan', 'quinnat')
('rebated', 'berated')
('rebated', 'debater')
('yaws', 'ways')
('lead', 'deal')
('lade', 'dale')
('fifes', 'fiefs')
('flatboat', 'faltboat')
('angle', 'angel')
('sered', 'seder')
('seder', 'redes')
('reeds', 'deers')
('reeds', 'redes')
('drees', 'deers')
('leeks', 'keels')
('raj', 'jar')
('stoups', 'spouts')
('teems', 'meets')
('metes', 'meets')
('spiles', 'slipes')
('spiles', 'spiels')
('spiels', 'speils')
('tin', 'nit')
('palmyra', 'palmary')
('hirsles', 'hirsels')
('niches', 'inches')
('rasp', 'raps')
('raps', 'pars')
('sima', 'aims')
('amis', 'aims')
('bulger', 'bugler')
('coxa', 'coax')
('wieners', 'weiners')
('rack', 'cark')
('tuis', 'suit')
('rectifying', 'certifying')
('legating', 'gelating')
('bulging', 'bugling')
('argols', 'algors')
('ochered', 'cohered')
('lines', 'lenis')
('lines', 'liens')
('almugs', 'algums')
('sabre', 'saber')
('saber', 'baser')
('braes', 'bares')
('braes', 'bears')
('baser', 'bares')
('maids', 'amids')
('riming', 'miring')
('vapid', 'pavid')
('tartish', 'rattish')
('sapling', 'lapsing')
('tyke', 'kyte')
('rinded', 'ridden')
('trap', 'prat')
('trap', 'tarp')
('tarp', 'part')
('rapt', 'part')
('prat', 'part')
('tallages', 'gallates')
('galletas', 'gallates')
('deckle', 'deckel')
('sender', 'denser')
('rubies', 'buries')
('busier', 'buries')
('thens', 'shent')
('urinating', 'ruinating')
('toles', 'telos')
('ton', 'not')
('twits', 'twist')
('sacking', 'casking')
('valse', 'salve')
('valse', 'vales')
('vales', 'laves')
('slave', 'salve')
('liveable', 'leviable')
('ultraists', 'altruists')
('wonts', 'nowts')
('towns', 'nowts')
('tyring', 'trying')
('singe', 'sengi')
('sengi', 'segni')
('wroth', 'worth')
('worth', 'rowth')
('cultches', 'clutches')
('sagum', 'magus')
('vealier', 'leavier')
('tonal', 'notal')
('tonal', 'tolan')
('tolan', 'talon')
('yams', 'mays')
('minutes', 'minuets')
('prices', 'precis')
('touring', 'routing')
('vela', 'leva')
('vela', 'vale')
('vela', 'veal')
('vale', 'lave')
('leva', 'lave')
('triadic', 'triacid')
('sept', 'pest')
('pets', 'pest')
('dash', 'dahs')
('toters', 'otters')
('mordancy', 'dormancy')
('potions', 'options')
('fora', 'faro')
('gliding', 'gilding')
('nomadic', 'monadic')
('monadic', 'monacid')
('preform', 'perform')
('testers', 'setters')
('allods', 'aldols')
('deb', 'bed')
('dicers', 'ciders')
('rafts', 'farts')
('frats', 'farts')
('samp', 'pams')
('pams', 'maps')
('maps', 'amps')
('pulse', 'pules')
('glider', 'gilder')
('throned', 'thorned')
('collied', 'collide')
('military', 'limitary')
('teeming', 'meeting')
('barley', 'barely')
('misleading', 'misdealing')
('molten', 'melton')
('verts', 'verst')
('dyne', 'deny')
('skenes', 'skeens')
('snail', 'slain')
('nails', 'anils')
('verse', 'serve')
('grail', 'argil')
('grail', 'glair')
('wan', 'awn')
('sooth', 'hoots')
('flota', 'float')
('float', 'aloft')
('nods', 'dons')
('rocking', 'corking')
('on', 'no')
('wries', 'weirs')
('wries', 'wires')
('wiser', 'wires')
('shred', 'sherd')
('urinated', 'ruinated')
('corbans', 'carbons')
('rekey', 'reeky')
('wrastles', 'warstles')
('woes', 'owes')
('owse', 'owes')
('pinas', 'nipas')
('pinas', 'pians')
('pians', 'pains')
('cossacks', 'cassocks')
('impreses', 'emprises')
('bemas', 'beams')
('hassle', 'hassel')
('warned', 'warden')
('warden', 'wander')
('aired', 'aider')
('shreds', 'sherds')
('minute', 'minuet')
('neologies', 'enologies')
('coral', 'carol')
('fracted', 'crafted')
('lean', 'elan')
('truces', 'eructs')
('recuts', 'rectus')
('eructs', 'cruets')
('curets', 'cruets')
('retesting', 'resetting')
('voling', 'loving')
('bays', 'abys')
('morality', 'molarity')
('rets', 'rest')
('rest', 'erst')
('fared', 'fader')
('fluor', 'flour')
('kibe', 'bike')
('nigger', 'ginger')
('milliohm', 'millimho')
('grin', 'girn')
('kris', 'irks')
('snag', 'sang')
('had', 'dah')
('calibre', 'caliber')
('sealers', 'leasers')
('creates', 'cerates')
('rouges', 'rogues')
('untie', 'unite')
('converses', 'conserves')
('mucro', 'mucor')
('tap', 'pat')
('pat', 'apt')
('this', 'shit')
('sith', 'hits')
('hits', 'hist')
('babe', 'abbe')
('tams', 'mats')
('mats', 'mast')
('tooling', 'looting')
('revel', 'lever')
('lever', 'elver')
('touch', 'couth')
('elegise', 'elegies')
('zaffres', 'zaffers')
('terga', 'targe')
('spieled', 'speiled')
('grins', 'girns')
('stilted', 'slitted')
('ras', 'ars')
('curd', 'crud')
('grad', 'drag')
('hames', 'haems')
('rodded', 'dodder')
('sneaks', 'skeans')
('aspis', 'apsis')
('hash', 'hahs')
('spean', 'sneap')
('peans', 'neaps')
('panes', 'napes')
('loafs', 'foals')
('blankets', 'blankest')
('floored', 'flooder')
('tither', 'hitter')
('tartans', 'rattans')
('undies', 'indues')
('undies', 'nudies')
('nomarch', 'monarch')
('drabbets', 'drabbest')
('zaffre', 'zaffer')
('steeled', 'sleeted')
('rials', 'liars')
('rials', 'rails')
('rails', 'arils')
('rails', 'lairs')
('liras', 'liars')
('liars', 'lairs')
('shores', 'shoers')
('spine', 'snipe')
('pines', 'penis')
('penis', 'peins')
('rowel', 'lower')
('laburnums', 'alburnums')
('lifers', 'filers')
('fliers', 'filers')
('serein', 'nereis')
('lyse', 'lyes')
('lyes', 'leys')
('rubble', 'burble')
('timers', 'miters')
('remits', 'merits')
('mitres', 'miters')
('room', 'moor')
('patsies', 'pasties')
('tarted', 'ratted')
('modes', 'domes')
('domes', 'demos')
('pages', 'gapes')
('head', 'haed')
('haed', 'hade')
('poler', 'loper')
('colonise', 'colonies')
('rockier', 'corkier')
('margenting', 'garmenting')
('prig', 'grip')
('torso', 'toros')
('toros', 'rotos')
('rotos', 'roots')
('roots', 'roost')
('malenesses', 'lamenesses')
('poohed', 'hooped')
('retained', 'detainer')
('heat', 'haet')
('hate', 'eath')
('hate', 'haet')
('teem', 'meet')
('mete', 'meet')
('stoma', 'atoms')
('tubs', 'buts')
('buts', 'bust')
('decentre', 'decenter')
('preformed', 'performed')
('tenters', 'netters')
('frail', 'flair')
('trois', 'trios')
('trios', 'tiros')
('compliers', 'compilers')
('windless', 'wildness')
('ricked', 'dicker')
('leaned', 'leaden')
('osseins', 'essoins')
('serried', 'derries')
('resider', 'desirer')
('redries', 'derries')
('schmeers', 'schemers')
('exits', 'exist')
('tusseh', 'tushes')
('sepulchre', 'sepulcher')
('tilled', 'lilted')
('sub', 'bus')
('allod', 'aldol')
('sanitise', 'sanities')
('archons', 'anchors')
('sea', 'sae')
('sings', 'signs')
('tentier', 'nettier')
('verstes', 'versets')
('friths', 'firths')
('racers', 'carers')
('lessen', 'lenses')
('flied', 'filed')
('filed', 'felid')
('filed', 'field')
('tended', 'dented')
('duffles', 'duffels')
('rowen', 'rewon')
('railed', 'ariled')
('railed', 'laired')
('reversers', 'reservers')
('roped', 'doper')
('roped', 'pored')
('cupola', 'copula')
('tattlers', 'tartlets')
('ossein', 'essoin')
('noises', 'noesis')
('ransom', 'ramson')
('tocher', 'rochet')
('wasp', 'waps')
('waps', 'paws')
('teas', 'etas')
('teas', 'seat')
('seta', 'sate')
('seta', 'seat')
('sate', 'eats')
('etas', 'ates')
('etas', 'eats')
('eats', 'east')
('mesne', 'mense')
('created', 'cerated')
('tartan', 'rattan')
('leadings', 'dealings')
('sucks', 'cusks')
('torten', 'rotten')
('cusp', 'cups')
('boots', 'boost')
('refry', 'ferry')
('satchel', 'latches')
('sips', 'piss')
('psis', 'piss')
('spooniest', 'snoopiest')
('speans', 'sneaps')
('raise', 'arise')
('loofs', 'fools')
('vires', 'rives')
('vires', 'viers')
('siver', 'rives')
('knee', 'keen')
('unclear', 'nuclear')
('rectifications', 'certifications')
('salep', 'pales')
('peals', 'leaps')
('idol', 'diol')
('sitarists', 'satirists')
('hosel', 'holes')
('nomology', 'monology')
('wordiest', 'rowdiest')
('ombre', 'omber')
('remiges', 'regimes')
('tug', 'gut')
('plater', 'palter')
('clasp', 'claps')
('ram', 'arm')
('ram', 'mar')
('entries', 'entires')
('roomy', 'moory')
('latitudes', 'altitudes')
('riles', 'riels')
('riels', 'liers')
('nitros', 'intros')
('parcels', 'carpels')
('fiar', 'fair')
('tup', 'put')
('paging', 'gaping')
('lense', 'lenes')
('bladed', 'balded')
('nomads', 'monads')
('pulis', 'pilus')
('assorter', 'assertor')
('nudging', 'dunging')
('ginkgoes', 'gingkoes')
('wordinesses', 'rowdinesses')
('corban', 'carbon')
('ropes', 'pores')
('poser', 'pores')
('secures', 'recuses')
('recuses', 'ceruses')
('birred', 'birder')
('senses', 'nesses')
('plena', 'plane')
('penal', 'panel')
('vainest', 'naivest')
('aliments', 'ailments')
('slaty', 'salty')
('shape', 'phase')
('flee', 'feel')
('gardened', 'gandered')
('gandered', 'dangered')
('rubied', 'buried')
('mile', 'lime')
('speaned', 'sneaped')
('shrike', 'shriek')
('protend', 'portend')
('raped', 'pared')
('lobe', 'bole')
('hassles', 'hassels')
('nide', 'dine')
('poling', 'loping')
('refries', 'ferries')
('refries', 'refires')
('picolin', 'cipolin')
('unmitres', 'unmiters')
('fumer', 'femur')
('papal', 'appal')
('sexed', 'dexes')
('dexes', 'desex')
('conifer', 'coinfer')
('legated', 'gelated')
('sties', 'sites')
('harkener', 'hankerer')
('blet', 'belt')
('sacques', 'casques')
('precept', 'percept')
('writs', 'wrist')
('urinate', 'ruinate')
('urinate', 'uranite')
('souled', 'loused')
('spaces', 'scapes')
('mads', 'dams')
('sweer', 'sewer')
('muser', 'mures')
('weds', 'dews')
('serial', 'serail')
('serail', 'resail')
('minded', 'midden')
('lama', 'alma')
('grab', 'brag')
('grab', 'garb')
('conversed', 'conserved')
('racked', 'arcked')
('racked', 'carked')
('racked', 'dacker')
('salvia', 'saliva')
('mindless', 'mildness')
('deckles', 'deckels')
('intenders', 'indenters')
('gutsiest', 'gustiest')
('ogres', 'gores')
('gorse', 'gores')
('gores', 'goers')
('reclined', 'decliner')
('residing', 'desiring')
('pope', 'pepo')
('maiden', 'daimen')
('milestone', 'limestone')
('titling', 'tilting')
('melon', 'lemon')
('kitling', 'kilting')
('stroying', 'storying')
('phocine', 'chopine')
('gondola', 'dongola')
('luges', 'gules')
('gules', 'glues')
('daubs', 'bauds')
('thus', 'shut')
('grails', 'argils')
('grails', 'glairs')
('baas', 'abas')
('customer', 'costumer')
('ursae', 'urase')
('ursae', 'ureas')
('surf', 'furs')
('sum', 'mus')
('bistred', 'bestrid')
('teemers', 'meeters')
('drabs', 'brads')
('drabs', 'darbs')
('darbs', 'bards')
('brads', 'bards')
('semes', 'seems')
('skee', 'ekes')
('skee', 'seek')
('bolting', 'biltong')
('meagre', 'meager')
('wens', 'news')
('sewn', 'news')
('sturt', 'strut')
('retried', 'retired')
('team', 'meat')
('tame', 'mate')
('meta', 'mate')
('meta', 'meat')
('tomes', 'motes')
('bulged', 'bugled')
('spree', 'speer')
('prese', 'perse')
('prese', 'prees')
('prees', 'peers')
('prees', 'peres')
('perse', 'peres')
('peres', 'peers')
('prism', 'prims')
('leek', 'keel')
('pertly', 'peltry')
('terns', 'nerts')
('rents', 'nerts')
('riffed', 'differ')
('tacker', 'racket')
('faces', 'cafes')
('stopes', 'ptoses')
('ref', 'fer')
('talents', 'latents')
('used', 'sued')
('sued', 'dues')
('stipes', 'spites')
('sera', 'sear')
('rase', 'arse')
('eras', 'ares')
('eras', 'ears')
('arse', 'ares')
('tegs', 'gets')
('gets', 'gest')
('voles', 'loves')
('bilgy', 'bigly')
('leader', 'dealer')
('gobs', 'bogs')
('penna', 'panne')
('compere', 'compeer')
('oleins', 'eloins')
('resource', 'recourse')
('revels', 'levers')
('levers', 'elvers')
('labs', 'albs')
('labs', 'bals')
('hollaed', 'halloed')
('unsoiled', 'insouled')
('smile', 'slime')
('miles', 'limes')
('lets', 'lest')
('ripener', 'repiner')
('tub', 'but')
('distension', 'dissention')
('energise', 'energies')
('vealing', 'leaving')
('contes', 'centos')
('wits', 'wist')
('voled', 'loved')
('spoor', 'sopor')
('redry', 'derry')
('grater', 'garter')
('garter', 'garret')
('pentad', 'panted')
('railing', 'lairing')
('reverses', 'reserves')
('hetaeric', 'aetheric')
('melodise', 'melodies')
('guan', 'gaun')
('curacoa', 'curacao')
('ultraism', 'altruism')
('tam', 'mat')
('steeling', 'sleeting')
('lacks', 'calks')
('conversing', 'conserving')
('scrapers', 'scarpers')
('legations', 'gelations')
('alas', 'aals')
('torch', 'rotch')
('trines', 'triens')
('nitres', 'niters')
('niters', 'inters')
('inters', 'insert')
('ulster', 'luster')
('rustle', 'lustre')
('lustre', 'luster')
('mixer', 'mirex')
('guised', 'guides')
('ragee', 'eager')
('ragee', 'eagre')
('eagre', 'eager')
('hollas', 'hallos')
('robing', 'boring')
('robing', 'orbing')
('soli', 'silo')
('soli', 'soil')
('silo', 'oils')
('orca', 'arco')
('nils', 'lins')
('me', 'em')
('rime', 'mire')
('froth', 'forth')
('grids', 'girds')
('holla', 'hallo')
('maid', 'amid')
('peal', 'leap')
('burins', 'bruins')
('bolts', 'blots')
('sift', 'fist')
('fits', 'fist')
('begrudged', 'bedrugged')
('nomas', 'monas')
('monas', 'manos')
('monas', 'moans')
('mason', 'manos')
('goober', 'booger')
('tunas', 'aunts')
('tremor', 'termor')
('span', 'snap')
('pans', 'naps')
('unsealed', 'unleased')
('niching', 'inching')
('naive', 'naevi')
('dibs', 'bids')
('larded', 'ladder')
('jotas', 'jatos')
('comperes', 'compeers')
('topful', 'potful')
('tiller', 'rillet')
('cusser', 'curses')
('curses', 'cruses')
('usably', 'suably')
('sauce', 'cause')
('subtle', 'bustle')
('bluets', 'bluest')
('wat', 'taw')
('twa', 'taw')
('relater', 'realter')
('crooners', 'coroners')
('spoonily', 'snoopily')
('god', 'dog')
('si', 'is')
('stirk', 'skirt')
('robbin', 'ribbon')
('discrete', 'discreet')
('male', 'lame')
('lame', 'alme')
('piastre', 'piaster')
('pastier', 'parties')
('flies', 'files')
('tremors', 'termors')
('scraping', 'scarping')
('brakiest', 'barkiest')
('ensile', 'enisle')
('bassi', 'basis')
('sughing', 'gushing')
('tab', 'bat')
('froe', 'fore')
('toter', 'otter')
('tithing', 'hitting')
('preeing', 'peering')
('mod', 'dom')
('rended', 'redden')
('bolt', 'blot')
('puds', 'dups')
('tippler', 'ripplet')
('tartly', 'rattly')
('godded', 'dodged')
('sopited', 'posited')
('posited', 'podites')
('braked', 'barked')
('preforming', 'performing')
('nib', 'bin')
('rocky', 'corky')
('misinter', 'minister')
('snark', 'knars')
('ranks', 'narks')
('narks', 'karns')
('till', 'lilt')
('legatine', 'gelatine')
('tents', 'netts')
('tagrags', 'ragtags')
('refed', 'defer')
('veer', 'ever')
('waded', 'dawed')
('gunsels', 'gunless')
('nemas', 'names')
('names', 'manes')
('mensa', 'manse')
('manse', 'manes')
('nameless', 'lameness')
('nameless', 'maneless')
('maneless', 'maleness')
('maleness', 'lameness')
('holloa', 'halloo')
('tref', 'fret')
('tent', 'nett')
('sole', 'lose')
('sole', 'sloe')
('connects', 'concents')
('tone', 'note')
('speaning', 'sneaping')
('tartanas', 'tantaras')
('taps', 'pats')
('pats', 'past')
('goban', 'bogan')
('nail', 'anil')
('nail', 'lain')
('slivers', 'silvers')
('yar', 'ray')
('rya', 'ray')
('premise', 'premies')
('imprese', 'emprise')
('oink', 'kino')
('closets', 'closest')
('sliverers', 'silverers')
('wop', 'pow')
